subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP02,sdp,pivot,subtalar_angle_moment,7.605623135,8.087420829,-0.481797694
FAILTCRT01,FAILTCRT01_SDP02,sdp,pivot,pro_sup_moment,-0.008410461,0.007076206,-0.015486667
FAILTCRT01,FAILTCRT01_SDP02,sdp,pivot,mtp_angle_moment,-0.077793186,0.000252484,-0.07804567
FAILTCRT01,FAILTCRT01_SDP02,sdp,pivot,wrist_flex_moment,0.343627747,0.343627747,0
FAILTCRT01,FAILTCRT01_SDP02,sdp,pivot,wrist_dev_moment,-0.332689878,0,-0.332689878
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,hip_flexion_moment,-33.59440531,8.980030398,-42.57443571
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,hip_adduction_moment,-51.57353243,7.048388619,-58.62192105
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,hip_rotation_moment,5.112851313,10.40059998,-5.287748669
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,lumbar_extension_moment,50.49301488,51.41031472,-0.917299842
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,lumbar_bending_moment,10.99123014,17.13765973,-6.146429585
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,lumbar_rotation_moment,1.159039188,8.436693225,-7.277654037
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,knee_angle_moment,-11.75117244,18.19372203,-29.94489446
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,arm_flex_moment,4.303717441,4.304953622,-0.001236181
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,arm_add_moment,9.397025052,9.397025052,0
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,arm_rot_moment,-1.40149694,0.0832209,-1.48471784
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,ankle_angle_moment,-55.51089325,0.735944941,-56.24683819
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,elbow_flex_moment,4.45675668,4.45675668,0
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,subtalar_angle_moment,10.8634694,11.64847305,-0.785003655
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,pro_sup_moment,-0.022919666,0.006779497,-0.029699163
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,mtp_angle_moment,-0.08036188,0,-0.08036188
